1740470 99001 99131 99033 99085 99104 1003.01 
1740480 98999 99130 99030 99091 99112 1004.02 
1740490 99002 99131 99035 99092 99110 1003.01 
1740500 99000 99133 99036 99093 99108 1003.01 
1740510 98995 99133 99035 99092 99104 1003.01 
1740520 98998 99131 99032 99100 99103 1003.01 
1740530 98998 99134 99032 99092 99116 1003.01 
1740540 98999 99134 99025 99086 99107 1003.01 
1740550 99000 99138 99041 99087 99103 1003.01 
1740560 98994 99143 99035 99088 99102 1003.01 
1740570 99000 99141 99039 99093 99111 1003.01 
1740580 98997 99139 99043 99087 99105 1003.01 
1740590 98999 99135 99039 99093 99108 1003.01 
1740600 99004 99133 99037 99093 99101 1003.01 
1740610 98999 99132 99035 99094 99104 1003.01 
1740620 99002 99138 99032 99090 99105 1003.01 
1740630 98999 99130 99033 99088 99102 1003.01 
1740640 98999 99134 99042 99094 99108 1003.01 
1740650 98994 99136 99030 99090 99109 1003.01 
1740660 98998 99137 99034 99085 99103 1004.02 
1740670 99004 99129 99037 99097 99104 1003.01 
1740680 98999 99144 99033 99094 99101 1003.01 
1740690 98993 99138 99040 99093 99109 1003.01 
1740700 99001 99134 99028 99091 99103 1003.01 
1740710 98995 99135 99039 99091 99106 1003.01 
1740720 98998 99130 99033 99091 99099 1003.01 
1740730 98999 99141 99035 99091 99097 1003.01 
1740740 99004 99135 99036 99090 99104 1003.01 
1740750 98997 99133 99037 99092 99092 1003.01 
1740760 98995 99139 99036 99085 99103 1004.02 
1740770 99000 99136 99034 99096 99111 1003.01 
1740780 99001 99131 99034 99091 99104 1003.01 
1740790 98995 99131 99032 99087 99107 1003.01 
1740800 98999 99132 99034 99091 99099 1003.01 
1740810 98999 99133 99040 99090 99097 1003.01 
1740820 99001 99136 99039 99102 99106 1003.01 
1740830 98999 99128 99034 99086 99110 1003.01 
1740840 99000 99135 99039 99093 99104 1003.01 
1740850 99006 99137 99035 99089 99112 1003.01 
1740860 99005 99137 99040 99098 99099 1001.00 
1740870 98999 99131 99030 99092 99101 1003.01 
1740880 99001 99134 99034 99096 99111 1003.01 
1740890 99000 99131 99040 99098 99099 1003.01 
1740900 99005 99136 99037 99087 99106 1003.01 
1740910 99004 99138 99039 99095 99113 1003.01 
1740920 98997 99137 99029 99095 99103 1003.01 
1740930 98997 99129 99030 99092 99111 1003.01 
1740940 98999 99137 99039 99091 99107 1003.01 
1740950 99005 99137 99044 99093 99098 1003.01 
1740960 98998 99131 99029 99092 99109 1003.01 
1740970 99001 99130 99028 99094 99109 1003.01 
1740980 98994 99135 99034 99091 99102 1003.01 
1740990 98993 99135 99043 99090 99102 1003.01 
1741000 99000 99132 99034 99091 99097 1003.01 
1741010 98997 99135 99040 99092 99101 1003.01 
1741020 98998 99130 99036 99086 99105 1003.01 
